ticker;year;total_assets;total_debt;invested_capital;working_capital;stockholders_equity;retained_earnings;long_term_debt;current_assets;current_liabilities;current_debt;payables_and_accrued_expenses;total_liabilities_net_minority_interest;accounts_payable;accounts_receivable;investments_and_advances;net_ppe;inventory;receivables;cash_and_cash_equivalents;cash_cash_equivalents_and_short_term_investments;goodwill;common_stock;share_issued
GE;2020;256211000000;78096000000;110447000000;30237000000;35552000000;92247000000;70188000000;84852000000;54615000000;4713000000;36085000000;219137000000;16458000000;13459000000;48932000000;16700000000;15890000000;22992000000;36530000000;43849000000;25524000000;702000000;1095686625
AMT;2020;47233500000;36711800000;33381000000;-749900000;4093500000;-1343000000;28497700000;2905600000;3655500000;789800000;1935200000;42453000000;139100000;511600000;NULL;20597900000;NULL;754800000;1746300000;1746300000;7282700000;4600000;455244765
TMUS;2020;200162000000;107247000000;136469000000;2182000000;65344000000;-5836000000;66546000000;23885000000;21703000000;4579000000;10353000000;134818000000;5564000000;4254000000;NULL;72224000000;2527000000;7853000000;10385000000;10385000000;11117000000;0;1243345584
MU;2020;53678000000;7176000000;45153000000;11330000000;38996000000;33384000000;5963000000;17965000000;6635000000;194000000;5817000000;14682000000;2191000000;3494000000;1048000000;31615000000;5373000000;3912000000;7624000000;8142000000;1228000000;119000000;1194000000
PYPL;2020;70379000000;8939000000;28958000000;12548000000;20019000000;12366000000;8939000000;50995000000;38447000000;NULL;38447000000;50316000000;35670000000;33995000000;6089000000;1807000000;NULL;36764000000;4794000000;13083000000;9135000000;0;1288691809
C;2020;2260090000000;301200000000;481162000000;NULL;199442000000;168272000000;271686000000;NULL;NULL;29514000000;50484000000;2059890000000;50484000000;44806000000;647003000000;NULL;NULL;45544000000;309615000000;NULL;22162000000;31000000;3099763661
CI;2020;155451000000;32919000000;83240000000;NULL;50321000000;28575000000;29545000000;NULL;NULL;3374000000;27340000000;105065000000;5478000000;17199000000;1331000000;4205000000;NULL;17391000000;10182000000;11513000000;44648000000;4000000;390276000
CB;2020;190774000000;14948000000;74389000000;NULL;59441000000;39337000000;14948000000;NULL;NULL;0;6708000000;131333000000;6708000000;26278000000;110724000000;NULL;NULL;26278000000;1747000000;96791000000;15400000000;11064000000;477605264
APD;2020;25168500000;8314300000;19987600000;6268200000;12079800000;14875700000;7430100000;8684900000;2416700000;477700000;1485700000;12725400000;546200000;1274800000;1449200000;12441500000;404800000;1417400000;5253000000;6357900000;891500000;249400000;249455584
F;2020;267261000000;162998000000;192374000000;19552000000;30690000000;18243000000;110341000000;116744000000;97192000000;51343000000;23419000000;236450000000;22204000000;52394000000;4901000000;65034000000;10808000000;52394000000;25243000000;49961000000;258000000;41000000;4096000000
MRNA;2020;7337000000;237000000;2561000000;1909000000;2561000000;-2244000000;NULL;6298000000;4389000000;NULL;393000000;4776000000;18000000;1391000000;639000000;387000000;47000000;1408000000;2624000000;4608000000;NULL;0;398787678
EQIX;2020;27006841000;13923339000;21171994000;584405000;10633988000;-3358972000;10305531000;2609155000;2024750000;232475000;839773000;16372723000;77705000;676738000;163071000;15978141000;NULL;860219000;1604869000;1609401000;5472553000;89000;89462304
ICE;2020;126200000000;16857000000;36035000000;-780000000;19498000000;11039000000;14126000000;87219000000;87999000000;2411000000;3647000000;106573000000;639000000;1230000000;NULL;1713000000;NULL;1230000000;583000000;583000000;21291000000;6000000;629000000
GM;2020;235194000000;110863000000;154924000000;1014000000;45030000000;31962000000;72981000000;80924000000;79910000000;36913000000;39865000000;185517000000;19928000000;34244000000;8406000000;77451000000;10235000000;34244000000;19992000000;29038000000;1900000000;14000000;1400000000
EW;2020;7237100000;694900000;5169300000;2197100000;4574300000;4565000000;595000000;3091000000;893900000;NULL;576200000;2662800000;196500000;514600000;801600000;1489400000;802300000;602800000;1183200000;1402600000;1173200000;636400000;636400000
DUK;2020;162388000000;64076000000;108738000000;-7623000000;47964000000;2471000000;55625000000;8682000000;16305000000;7111000000;4163000000;113204000000;3144000000;3153000000;10075000000;108306000000;3167000000;3153000000;259000000;259000000;19303000000;1000000;769000000
SO;2020;122935000000;51041000000;77161000000;-3462000000;28263000000;11311000000;45073000000;8617000000;12079000000;4116000000;4148000000;90410000000;2806000000;2269000000;3665000000;90390000000;2488000000;3335000000;1065000000;1065000000;5280000000;5268000000;1057464751
REGN;2020;17163300000;2695700000;13003800000;7081700000;11025300000;10893000000;1978500000;9779100000;2697400000;NULL;2119700000;6138000000;475500000;4114700000;3135600000;3221600000;1916600000;4114700000;2193700000;3587000000;NULL;100000;123382430
PGR;2020;64098300000;5396100000;21940800000;NULL;17038600000;13354900000;5396100000;NULL;NULL;NULL;2694500000;47059700000;4955800000;12179500000;47530300000;1106000000;NULL;12179500000;76500000;42105900000;452700000;585200000;797500000
HUM;2020;34969000000;6660000000;20388000000;NULL;13728000000;20517000000;6060000000;NULL;NULL;600000000;12476000000;21241000000;12156000000;1138000000;14936000000;2371000000;NULL;1138000000;4673000000;17227000000;4447000000;33000000;198648742
PSA;2020;11816546000;2544992000;7311359000;-137095000;8558867000;-914791000;2544992000;257560000;394655000;NULL;394655000;3239647000;NULL;NULL;773046000;188079000;NULL;NULL;257560000;257560000;165843000;17458000;174581742
AAPL;2021;351002000000;136522000000;187809000000;9355000000;63090000000;5562000000;109106000000;134836000000;125481000000;15613000000;54763000000;287912000000;54763000000;26278000000;127877000000;49527000000;6580000000;51506000000;34940000000;62639000000;NULL;57365000000;16426786000
MSFT;2021;333779000000;67775000000;200134000000;95749000000;141988000000;57055000000;50074000000;184406000000;88657000000;8072000000;17337000000;191791000000;15163000000;38043000000;5984000000;70803000000;2636000000;38043000000;14224000000;130256000000;49711000000;83111000000;7519000000
GOOGL;2021;359268000000;28395000000;264479000000;123889000000;251635000000;191484000000;12844000000;188143000000;64254000000;NULL;35089000000;107633000000;6037000000;39304000000;29549000000;110558000000;1170000000;39304000000;20945000000;139649000000;22956000000;61774000000;13242420000
AMZN;2021;420549000000;116395000000;186989000000;19314000000;138245000000;85915000000;48744000000;161580000000;142266000000;NULL;130439000000;282304000000;78664000000;32891000000;NULL;216363000000;32640000000;32891000000;36220000000;96049000000;15371000000;106000000;10640000000
NVDA;2021;28791000000;7597000000;23856000000;12130000000;16893000000;18908000000;5964000000;16055000000;3925000000;999000000;2128000000;11898000000;1149000000;2429000000;144000000;2856000000;1826000000;2429000000;847000000;11561000000;4193000000;3000000;38600000000
BRK-B;2021;958784000000;114262000000;620461000000;NULL;506199000000;534421000000;111911000000;NULL;NULL;2351000000;46072000000;443854000000;NULL;36599000000;441733000000;191282000000;NULL;39565000000;88184000000;146719000000;73875000000;8000000;1658095
META;2021;165987000000;13873000000;124879000000;45531000000;124879000000;69761000000;NULL;66666000000;21135000000;NULL;11037000000;41108000000;4083000000;14039000000;6775000000;69964000000;NULL;14039000000;16601000000;47998000000;19197000000;0;2741000000
TSLA;2021;62131000000;8873000000;35531000000;7395000000;30189000000;329000000;4254000000;27100000000;19705000000;1088000000;14098000000;30548000000;10025000000;1913000000;NULL;31172000000;5757000000;1913000000;17576000000;17707000000;200000000;3000000;3099000000
UNH;2021;212206000000;46003000000;117763000000;-16534000000;71760000000;77134000000;42383000000;61758000000;78292000000;3620000000;49126000000;135727000000;49126000000;14216000000;43114000000;8969000000;NULL;28082000000;21375000000;23907000000;75795000000;10000000;941000000
JNJ;2021;182018000000;33751000000;107774000000;15753000000;74023000000;123060000000;29985000000;60979000000;45226000000;3766000000;37874000000;107995000000;11055000000;15283000000;NULL;18962000000;10387000000;18984000000;14487000000;31608000000;35246000000;3120000000;3119843000
V;2021;82896000000;20977000000;58566000000;11868000000;37589000000;15351000000;19978000000;27607000000;15739000000;999000000;6026000000;45307000000;266000000;1968000000;1705000000;2715000000;NULL;3726000000;16487000000;18512000000;15958000000;21935000000;2143027500
XOM;2021;338923000000;47704000000;214419000000;2511000000;168577000000;392059000000;41566000000;59154000000;56643000000;4276000000;52367000000;163240000000;26623000000;26883000000;31363000000;216552000000;18780000000;32383000000;6802000000;6802000000;NULL;15746000000;8019000000
PG;2021;119307000000;32838000000;77496000000;-10041000000;46378000000;106374000000;23099000000;23091000000;33132000000;8889000000;18497000000;72653000000;13720000000;4725000000;NULL;21686000000;5983000000;4725000000;10288000000;10288000000;40924000000;4009000000;4009200000
LLY;2021;48806000000;16884700000;25863900000;3399700000;8979200000;8958500000;15346400000;18452400000;15052700000;1538300000;9528800000;39651200000;1670600000;6672800000;3212600000;8985100000;3886000000;8127200000;3818500000;3908600000;3892000000;596300000;954116000
MA;2021;37669000000;13901000000;21213000000;3787000000;7312000000;45648000000;13109000000;16949000000;13162000000;792000000;8220000000;30257000000;738000000;3006000000;1834000000;1907000000;NULL;3006000000;7421000000;7894000000;7662000000;0;1405000000
HD;2021;70581000000;43422000000;40537000000;5311000000;3299000000;58134000000;35822000000;28477000000;23166000000;1416000000;18099000000;67282000000;11606000000;2550000000;NULL;30667000000;16627000000;2992000000;7895000000;7895000000;7126000000;89000000;1789000000
CVX;2021;239535000000;31369000000;169939000000;6947000000;139067000000;165546000000;30664000000;33738000000;26791000000;208000000;26535000000;99595000000;16454000000;18419000000;40696000000;146961000000;6795000000;18419000000;5640000000;5675000000;4385000000;1832000000;2442676580
