ticker;ebitda;ebit;total_expenses;diluted_eps;net_income;operating_expense;operating_income;operating_revenue;selling_general_and_administration;gross_profit;cost_of_revenue;total_revenue;interest_expense
GE;2021;-3905000000;55411000000;-6,16;-6337000000;12033000000;1058000000;56469000000;10351000000;13091000000;43378000000;56469000000;1790000000
AMT;2021;3700300000;6028500000;5,66;2567700000;3346500000;3328400000;9356900000;811600000;6674900000;2682000000;9356900000;870900000
TMUS;2021;6693000000;73226000000;2,41;3024000000;36621000000;6892000000;79096000000;20238000000;43513000000;36605000000;80118000000;3342000000
MU;2021;6401000000;20958000000;5,14;5861000000;3676000000;6747000000;27705000000;894000000;10423000000;17282000000;27705000000;183000000
PYPL;2021;4331000000;21047000000;3,52;4169000000;9672000000;4324000000;25371000000;4559000000;13996000000;11375000000;25371000000;232000000
C;2021;NULL;NULL;10,14;21952000000;NULL;NULL;71887000000;26740000000;NULL;NULL;71887000000;7981000000
CI;2021;7998000000;167477000000;15,75;5370000000;NULL;NULL;174267000000;13012000000;NULL;NULL;174267000000;1208000000
CB;2021;10286000000;31067000000;19,27;8525000000;NULL;NULL;40861000000;3135000000;NULL;NULL;40861000000;492000000
APD;2021;2649200000;8055200000;9,43;2099100000;869100000;2267800000;10323000000;828400000;3136900000;7186100000;10323000000;141800000
F;2021;19583000000;131818000000;4,45;17937000000;11915000000;4523000000;136341000000;11915000000;16438000000;119903000000;136341000000;1803000000
MRNA;2021;13296000000;4440000000;28,29;12202000000;1823000000;13296000000;17675000000;567000000;15119000000;2617000000;17736000000;18000000
EQIX;2021;945034000;5515451000;5,53;500191000;2043029000;1120086000;6635537000;2043029000;3163115000;3472422000;6635537000;336082000
ICE;2021;6121000000;5617000000;7,18;4058000000;1467000000;3551000000;9168000000;458000000;5018000000;4150000000;9168000000;423000000
GM;2021;13666000000;117680000000;6,7;10019000000;8554000000;9324000000;127004000000;8554000000;17878000000;109126000000;127004000000;950000000
EW;2021;1720400000;3645700000;2,38;1503100000;2396800000;1586800000;5232500000;1493700000;3983600000;1248900000;5232500000;18400000
DUK;2021;6198000000;18780000000;4,94;3908000000;6117000000;5841000000;24621000000;NULL;11958000000;12663000000;24621000000;2207000000
SO;2021;4413000000;19413000000;2,26;2408000000;6547000000;3700000000;22405000000;NULL;10247000000;12866000000;23113000000;1837000000
REGN;2021;9383100000;7076900000;71,969999;8075300000;4639400000;8994800000;15790500000;1824900000;13634200000;2437500000;16071700000;57300000
PGR;2021;4428600000;43466500000;5,66;3350900000;NULL;NULL;47676500000;NULL;NULL;NULL;47676500000;218600000
HUM;2021;3680000000;79710000000;22,67;2933000000;NULL;NULL;83064000000;NULL;NULL;NULL;83064000000;326000000
PSA;2021;2062778000;1709992000;9,87;1953263000;789394000;1705832000;3415824000;75966000;2495226000;920598000;3415824000;90774000
AAPL;2022;122034000000;274891000000;6,11;99803000000;51345000000;119437000000;394328000000;25094000000;170782000000;223546000000;394328000000;2931000000
MSFT;2022;85779000000;114887000000;9,65;72738000000;52237000000;83383000000;198270000000;27725000000;135620000000;62650000000;198270000000;2063000000
GOOGL;2022;71685000000;207994000000;4,56;59972000000;81791000000;74842000000;282836000000;42291000000;156633000000;126203000000;282836000000;357000000
